iter	Passed	Remaining
300	2941	6830
301	2946	6810
302	2954	6795
303	2960	6778
304	2966	6759
305	2972	6742
306	2979	6724
307	2986	6709
308	2992	6691
309	3011	6703
310	3022	6696
311	3028	6678
312	3034	6659
313	3039	6640
314	3047	6626
315	3054	6612
316	3060	6593
317	3066	6576
318	3072	6559
319	3078	6542
320	3084	6524
321	3090	6507
322	3097	6491
323	3104	6478
324	3112	6464
325	3118	6448
326	3124	6430
327	3131	6416
328	3137	6398
329	3144	6384
330	3150	6368
331	3158	6355
332	3165	6339
333	3172	6325
334	3179	6311
335	3186	6296
336	3192	6281
337	3199	6267
338	3206	6251
339	3214	6240
340	3220	6223
341	3226	6207
342	3232	6191
343	3237	6174
344	3243	6157
345	3248	6140
346	3254	6125
347	3262	6112
348	3270	6099
349	3277	6086
350	3283	6070
351	3288	6054
352	3294	6038
353	3303	6027
354	3312	6018
355	3318	6003
356	3325	5989
357	3332	5976
358	3340	5963
359	3347	5951
360	3353	5936
361	3361	5924
362	3368	5911
363	3374	5896
364	3380	5881
365	3388	5869
366	3396	5857
367	3403	5844
368	3408	5829
369	3433	5846
370	3451	5851
371	3464	5848
372	3481	5852
373	3487	5837
374	3494	5823
375	3504	5815
376	3511	5803
377	3517	5788
378	3523	5773
379	3529	5758
380	3536	5745
381	3542	5731
382	3548	5717
383	3556	5704
384	3563	5692
385	3570	5679
386	3576	5664
387	3583	5652
388	3588	5636
389	3595	5623
390	3601	5608
391	3606	5593
392	3614	5582
393	3621	5570
394	3628	5556
395	3635	5545
396	3642	5532
397	3648	5518
398	3654	5505
399	3660	5490
400	3666	5477
401	3672	5463
402	3678	5448
403	3683	5434
404	3691	5423
405	3698	5410
406	3705	5398
407	3710	5384
408	3716	5370
409	3724	5359
410	3729	5345
411	3735	5331
412	3743	5320
413	3749	5307
414	3757	5296
415	3763	5282
416	3770	5271
417	3778	5260
418	3785	5248
419	3791	5236
420	3798	5223
421	3804	5210
422	3810	5197
423	3816	5185
424	3823	5172
425	3831	5162
426	3836	5148
427	3843	5136
428	3851	5125
429	3857	5113
430	3866	5104
431	3873	5093
432	3880	5081
433	3886	5069
434	3894	5058
435	3901	5047
436	3908	5035
437	3915	5024
438	3921	5011
439	3929	5000
440	3935	4988
441	3943	4977
442	3950	4967
443	3956	4955
444	3964	4944
445	3971	4933
446	3978	4922
447	3984	4909
448	3990	4897
449	3998	4886
450	4021	4895
451	4039	4897
452	4051	4891
453	4061	4884
454	4067	4872
455	4075	4862
456	4081	4849
457	4088	4838
458	4096	4827
459	4101	4814
460	4109	4804
461	4116	4794
462	4123	4782
463	4128	4769
464	4135	4758
465	4142	4746
466	4150	4736
467	4157	4726
468	4163	4714
469	4171	4704
470	4179	4694
471	4186	4683
472	4193	4671
473	4199	4660
474	4205	4648
475	4213	4638
476	4222	4629
477	4229	4618
478	4235	4607
479	4241	4594
480	4248	4584
481	4254	4572
482	4262	4562
483	4270	4552
484	4277	4542
485	4285	4532
486	4294	4523
487	4302	4513
488	4311	4505
489	4318	4494
490	4326	4484
491	4333	4474
492	4342	4465
493	4354	4460
494	4362	4450
495	4369	4440
496	4375	4427
497	4383	4418
498	4390	4408
499	4396	4396
500	4404	4386
501	4412	4377
502	4419	4366
503	4425	4355
504	4445	4357
505	4464	4358
